observed_propaedia_name,occurrence_count,part_numbers,section_codes,propaedia_page_references,header_contexts,image_relative_paths,review_notes,resolved_macropaedia_contents_name
Arts,1,6,624,240,Part Six. Art,propaedia_pages/part_6/propaedia-2010-part-06-photo-07.jpg,,
"Arts, Practice and Profession of the",1,6,612,223,Division I. Section 612,propaedia_pages/part_6/propaedia-2010-part-06-photo-02.jpg,,
Banks and Banking,1,5,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,,
"Biosphere, The",3,3,311 | 351 | 352,96 | 133 | 134,134 Part Three. Life on Earth | 96 Part Three. Life on Earth | Division V. Section 351,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-18.jpg | propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,"When added to the app, use the Propaedia-style label ""Biosphere and Concepts of Ecology, The"" instead of ""Biosphere, The"".",The BIOSPHERE and Concepts of Ecology
Conservation of Natural Resources,1,3,355,138,138 Part Three. Life on Earth,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,,
Genres,1,6,624,240,Part Six. Art,propaedia_pages/part_6/propaedia-2010-part-06-photo-07.jpg,,
Globalization,1,5,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,,
Lamp Shells: Phylum Brachiopoda,1,3,313,100,100 Part Three. Life on Earth,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,,
Velázquez,1,6,628,252,Part Six. Art,propaedia_pages/part_6/propaedia-2010-part-06-photo-12.jpg,,
