part_number,capture_sequence,block_index,section_code,propaedia_page_reference,header_context,image_relative_path,topic_summary,sort_order,observed_title,extraction_method,match_status,match_method,matched_title,matched_volume_number,matched_start_page,matched_page_count_estimate
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,2,Communication,single_ocr_line,matched,direct,COMMUNICATION,4,611,6
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,3,Names,single_ocr_line,matched,direct,NAMES,12,733,6
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,4,Cryptology,single_ocr_line,matched,direct,CRYPTOLOGY,4,860,14
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,5,Speech,single_ocr_line,matched,direct,SPEECH,16,72,21
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,6,Humour and Wit,single_ocr_line,matched,direct,HUMOUR AND WIT,8,682,7
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,7,Writing,single_ocr_line,matched,direct,WRITING,17,1025,52
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,8,Language,single_ocr_line,matched,direct,LANGUAGE,10,548,24
5,4,1,514,183,Division I. Section 514,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Major articles dealing with language and communication,9,Languages of the World,single_ocr_line,matched,direct,LANGUAGES OF THE WORLD,10,572,225
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,1,Public Opinion,single_ocr_line,matched,direct,PUBLIC OPINION,14,310,7
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,2,Collective Behaviour,single_ocr_line,matched,direct,COLLECTIVE BEHAVIOUR,4,556,12
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,3,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,4,Crime and Punishment,single_ocr_line,matched,direct,CRIME AND PUNISHMENT,4,796,21
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,5,Social Structure and Change,single_ocr_line,matched,direct,SOCIAL STRUCTURE AND CHANGE,15,365,7
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,6,Globalization,single_ocr_line,unmatched,,,,,
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,7,Work and Employment,single_ocr_line,matched,direct,WORK AND EMPLOYMENT,17,916,45
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,8,Modernization and Industrialization,single_ocr_line,matched,direct,MODERNIZATION AND INDUSTRIALIZATION,12,280,12
5,5,1,521,187,Division II. Section 521,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Major articles dealing with social structure and change,9,Propaganda,single_ocr_line,matched,direct,PROPAGANDA,14,171,9
5,6,1,522,189,Division II. Section 522,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,MACKOPAEDIA: Major articles dealing with the group structure of society,1,Alcohol and Drug Consumption,single_ocr_line,matched,direct,ALCOHOL AND DRUG CONSUMPTION,1,195,29
5,6,1,522,189,Division II. Section 522,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,MACKOPAEDIA: Major articles dealing with the group structure of society,2,Crime and Punishment,single_ocr_line,matched,direct,CRIME AND PUNISHMENT,4,796,21
5,6,1,522,189,Division II. Section 522,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,MACKOPAEDIA: Major articles dealing with the group structure of society,3,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,6,1,522,189,Division II. Section 522,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,MACKOPAEDIA: Major articles dealing with the group structure of society,4,Family and Kinship,single_ocr_line,matched,direct,FAMILY AND KINSHIP,7,59,17
5,6,1,522,189,Division II. Section 522,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,MACKOPAEDIA: Major articles dealing with the group structure of society,5,Social Welfare,single_ocr_line,matched,direct,SOCIAL WELFARE,15,372,21
5,6,1,522,189,Division II. Section 522,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,MACKOPAEDIA: Major articles dealing with the group structure of society,6,Sex and Sexuality,single_ocr_line,matched,direct,SEX AND SEXUALITY,15,233,20
5,7,1,523,190,190 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-07.jpg,Major articles dealing with social status,1,Slavery,single_ocr_line,matched,direct,SLAVERY,15,288,13
5,7,1,523,190,190 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-07.jpg,Major articles dealing with social status,2,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,8,1,524,191,Division III. Section 524,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Major articles dealing with human populations: urban and rural communities,1,Birth Control,single_ocr_line,matched,direct,BIRTH CONTROL,3,113,8
5,8,1,524,191,Division III. Section 524,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Major articles dealing with human populations: urban and rural communities,2,Modernization and Industrialization,single_ocr_line,matched,direct,MODERNIZATION AND INDUSTRIALIZATION,12,280,12
5,8,1,524,191,Division III. Section 524,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Major articles dealing with human populations: urban and rural communities,3,Cities,single_ocr_line,matched,direct,CITIES,4,425,11
5,8,1,524,191,Division III. Section 524,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Major articles dealing with human populations: urban and rural communities,4,Population,single_ocr_line,matched,direct,POPULATION,13,1034,10
5,8,1,524,191,Division III. Section 524,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Major articles dealing with human populations: urban and rural communities,5,Climate and Weather,single_ocr_line,matched,direct,CLIMATE AND WEATHER,4,436,87
5,8,1,524,191,Division III. Section 524,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Major articles dealing with human populations: urban and rural communities,6,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,9,1,531,192,Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-09.jpg,"Major articles dealing with economic concepts, issues, and systems",1,Government Finance,single_ocr_line,matched,direct,GOVERNMENT FINANCE,8,148,12
5,9,1,531,192,Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-09.jpg,"Major articles dealing with economic concepts, issues, and systems",2,Economic Systems,single_ocr_line,matched,direct,ECONOMIC SYSTEMS,5,908,8
5,9,1,531,192,Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-09.jpg,"Major articles dealing with economic concepts, issues, and systems",3,International Trade,single_ocr_line,matched,direct,INTERNATIONAL TRADE,9,900,30
5,9,1,531,192,Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-09.jpg,"Major articles dealing with economic concepts, issues, and systems",4,Economic Theory,single_ocr_line,matched,direct,ECONOMIC THEORY,5,916,37
5,10,1,532,193,Division III. Section 532,propaedia_pages/part_5/propaedia-2010-part-05-photo-10.jpg,Major articles dealing with the consumer and the market: pricing and the mechanisms for distributing goods,1,Markets,single_ocr_line,matched,direct,MARKETS,11,509,17
5,10,1,532,193,Division III. Section 532,propaedia_pages/part_5/propaedia-2010-part-05-photo-10.jpg,Major articles dealing with the consumer and the market: pricing and the mechanisms for distributing goods,2,Economic Theory,single_ocr_line,matched,direct,ECONOMIC THEORY,5,916,37
5,10,1,532,193,Division III. Section 532,propaedia_pages/part_5/propaedia-2010-part-05-photo-10.jpg,Major articles dealing with the consumer and the market: pricing and the mechanisms for distributing goods,3,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,10,1,532,193,Division III. Section 532,propaedia_pages/part_5/propaedia-2010-part-05-photo-10.jpg,Major articles dealing with the consumer and the market: pricing and the mechanisms for distributing goods,4,Government Finance,single_ocr_line,matched,direct,GOVERNMENT FINANCE,8,148,12
5,10,1,532,193,Division III. Section 532,propaedia_pages/part_5/propaedia-2010-part-05-photo-10.jpg,Major articles dealing with the consumer and the market: pricing and the mechanisms for distributing goods,5,International Trade,single_ocr_line,matched,direct,INTERNATIONAL TRADE,9,900,30
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,1,Accounting,single_ocr_line,matched,direct,ACCOUNTING,1,1,4
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,2,Banks and Banking,forced_combined_2_adjacent_ocr_lines,unmatched,,,,,
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,3,Business Organization,combined_2_adjacent_ocr_lines,matched,direct,BUSINESS ORGANIZATION,3,366,11
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,4,Coins and Coinage,single_ocr_line,matched,direct,COINS AND COINAGE,4,529,27
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,5,Economic Growth and Planning,combined_2_adjacent_ocr_lines,matched,direct,ECONOMIC GROWTH AND PLANNING,5,878,30
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,6,Economic Theory,single_ocr_line,matched,direct,ECONOMIC THEORY,5,916,37
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,7,Government Finance,combined_2_adjacent_ocr_lines,matched,direct,GOVERNMENT FINANCE,8,148,12
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,8,Insurance,single_ocr_line,matched,direct,INSURANCE,9,741,14
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,9,International Trade,single_ocr_line,matched,direct,INTERNATIONAL TRADE,9,900,30
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,10,Marketing and Merchandising,combined_2_adjacent_ocr_lines,matched,direct,MARKETING AND MERCHANDISING,11,495,14
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,11,Markets,single_ocr_line,matched,direct,MARKETS,11,509,17
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,12,Money,single_ocr_line,matched,direct,MONEY,12,325,5
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,13,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,11,1,533,196,196 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,Major articles dealing with the organization of production and distribution,14,Work and Employment,combined_2_adjacent_ocr_lines,matched,direct,WORK AND EMPLOYMENT,17,916,45
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,1,Economic Theory,single_ocr_line,matched,direct,ECONOMIC THEORY,5,916,37
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,2,Government Finance,single_ocr_line,matched,direct,GOVERNMENT FINANCE,8,148,12
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,3,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,4,International Trade,single_ocr_line,matched,direct,INTERNATIONAL TRADE,9,900,30
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,5,Social Welfare,single_ocr_line,matched,direct,SOCIAL WELFARE,15,372,21
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,6,Land Reform and Tenure,single_ocr_line,matched,direct,LAND REFORM AND TENURE,10,540,8
5,12,1,534,199,Division III. Section 534,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Major articles dealing with the distribution of income and wealth,7,Taxation,single_ocr_line,matched,direct,TAXATION,16,397,25
5,13,1,535,200,200 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-13.jpg,Major articles dealing with macroeconomics,1,Economic Theory,single_ocr_line,matched,direct,ECONOMIC THEORY,5,916,37
5,13,1,535,200,200 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-13.jpg,Major articles dealing with macroeconomics,2,Government Finance,single_ocr_line,matched,direct,GOVERNMENT FINANCE,8,148,12
5,13,1,535,200,200 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-13.jpg,Major articles dealing with macroeconomics,3,International Trade,single_ocr_line,matched,direct,INTERNATIONAL TRADE,9,900,30
5,13,1,535,200,200 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-13.jpg,Major articles dealing with macroeconomics,4,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,14,1,536,201,Division III. Section 536,propaedia_pages/part_5/propaedia-2010-part-05-photo-14.jpg,Major articles dealing with economic growth and planning,1,Economic Growth and Planning,single_ocr_line,matched,direct,ECONOMIC GROWTH AND PLANNING,5,878,30
5,14,1,536,201,Division III. Section 536,propaedia_pages/part_5/propaedia-2010-part-05-photo-14.jpg,Major articles dealing with economic growth and planning,2,Economic Theory,single_ocr_line,matched,direct,ECONOMIC THEORY,5,916,37
5,14,1,536,201,Division III. Section 536,propaedia_pages/part_5/propaedia-2010-part-05-photo-14.jpg,Major articles dealing with economic growth and planning,3,Government Finance,single_ocr_line,matched,direct,GOVERNMENT FINANCE,8,148,12
5,14,1,536,201,Division III. Section 536,propaedia_pages/part_5/propaedia-2010-part-05-photo-14.jpg,Major articles dealing with economic growth and planning,4,International Trade,single_ocr_line,matched,direct,INTERNATIONAL TRADE,9,900,30
5,14,1,536,201,Division III. Section 536,propaedia_pages/part_5/propaedia-2010-part-05-photo-14.jpg,Major articles dealing with economic growth and planning,5,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,1,Constitution and Constitutional Government,single_ocr_line,matched,direct,CONSTITUTION AND CONSTITUTIONAL GOVERNMENT,4,690,5
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,2,Political Parties and Interest Groups,single_ocr_line,matched,direct,POLITICAL PARTIES AND INTEREST GROUPS,13,979,12
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,3,Democracy,single_ocr_line,matched,direct,DEMOCRACY,5,226A,1
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,4,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,5,Human Rights,single_ocr_line,matched,direct,HUMAN RIGHTS,8,656,9
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,6,"Socio-Economic Doctrines and Reform Movements, Modern",combined_2_fragment_titles,matched,observed_comma_flip,Modern SOCIO-ECONOMIC DOCTRINES AND REFORM MOVEMENTS,15,393,45
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,7,Ideology,single_ocr_line,matched,direct,IDEOLOGY,8,768,5
5,15,1,541,203,Division IV. Section 541,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Major articles dealing with political theory,8,"Marxism, Marx and",single_ocr_line,matched,observed_comma_flip,Marx and MARXISM,11,531,13
5,16,1,542,204,204 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-16.jpg,"Major articles dealing with political institutions: the structure, branches and offices of government",1,Cities,single_ocr_line,matched,direct,CITIES,4,425,11
5,16,1,542,204,204 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-16.jpg,"Major articles dealing with political institutions: the structure, branches and offices of government",2,Political Systems,single_ocr_line,matched,direct,POLITICAL SYSTEMS,13,1004,28
5,16,1,542,204,204 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-16.jpg,"Major articles dealing with political institutions: the structure, branches and offices of government",3,"Government, The Forms of: Their Historical Development",combined_2_fragment_titles,matched,observed_comma_prefix_colon,The Forms of GOVERNMENT: Their Historical Development,8,141,7
5,16,1,542,204,204 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-16.jpg,"Major articles dealing with political institutions: the structure, branches and offices of government",4,Public Administration,single_ocr_line,matched,direct,PUBLIC ADMINISTRATION,14,294,16
5,16,1,542,204,204 Part Five. Human Society,propaedia_pages/part_5/propaedia-2010-part-05-photo-16.jpg,"Major articles dealing with political institutions: the structure, branches and offices of government",5,"Social Sciences, The",single_ocr_line,matched,observed_comma_flip,The SOCIAL SCIENCES,15,316,49
5,17,1,543,205,Division IV. Section 543,propaedia_pages/part_5/propaedia-2010-part-05-photo-17.jpg,Major articles dealing with the functioning of government: the dynamics of the political process,1,Political Parties and Interest Groups,single_ocr_line,matched,direct,POLITICAL PARTIES AND INTEREST GROUPS,13,979,12
5,17,1,543,205,Division IV. Section 543,propaedia_pages/part_5/propaedia-2010-part-05-photo-17.jpg,Major articles dealing with the functioning of government: the dynamics of the political process,2,Censorship,single_ocr_line,matched,direct,CENSORSHIP,3,604,8
