part_number,capture_sequence,block_index,section_code,propaedia_page_reference,header_context,image_relative_path,topic_summary,sort_order,observed_title,extraction_method,match_status,match_method,matched_title,matched_volume_number,matched_start_page,matched_page_count_estimate
6,1,1,611,222,222 Part Six. Art,propaedia_pages/part_6/propaedia-2010-part-06-photo-01.jpg,Major article dealing with the theory and classification of the arts,1,Philosophies of the Branches of Knowledge,single_ocr_line,matched,direct,PHILOSOPHIES OF THE BRANCHES OF KNOWLEDGE,13,652,81
6,2,1,612,223,Division I. Section 612,propaedia_pages/part_6/propaedia-2010-part-06-photo-02.jpg,Major articles dealing with the experience and criticism of works of art; the nonaesthetic contexts of art,1,"Arts, Practice and Profession of the",single_ocr_line,unmatched,,,,,
6,2,1,612,223,Division I. Section 612,propaedia_pages/part_6/propaedia-2010-part-06-photo-02.jpg,Major articles dealing with the experience and criticism of works of art; the nonaesthetic contexts of art,2,Libraries,single_ocr_line,matched,direct,LIBRARIES,10,947,17
6,2,1,612,223,Division I. Section 612,propaedia_pages/part_6/propaedia-2010-part-06-photo-02.jpg,Major articles dealing with the experience and criticism of works of art; the nonaesthetic contexts of art,3,Museums,single_ocr_line,matched,direct,MUSEUMS,12,480,13
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,1,African Arts,single_ocr_line,matched,direct,AFRICAN ARTS,1,121,47
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,2,"American Peoples, Arts of Native",combined_2_adjacent_ocr_lines,matched,observed_comma_flip,Arts of Native AMERICAN PEOPLES,1,312,37
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,3,Central Asian Arts,combined_2_adjacent_ocr_lines,matched,direct,CENTRAL ASIAN ARTS,3,716,21
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,4,East Asian Arts,single_ocr_line,matched,direct,EAST ASIAN ARTS,5,667,105
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,5,"Egyptian Arts and Architecture, Ancient",combined_3_adjacent_ocr_lines,matched,observed_comma_flip,Ancient EGYPTIAN ARTS AND ARCHITECTURE,6,145,10
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,6,Folk Arts,single_ocr_line,matched,direct,FOLK ARTS,7,306,33
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,7,Islamic Arts,single_ocr_line,matched,direct,ISLAMIC ARTS,10,44,59
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,8,"Middle Eastern Arts and Architecture, Ancient",combined_2_fragment_titles,matched,observed_comma_flip,Ancient MIDDLE EASTERN ARTS AND ARCHITECTURE,12,74,17
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,9,Oceanic Arts,single_ocr_line,matched,direct,OCEANIC ARTS,13,104,30
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,10,Prehistoric Peoples and Cultures,combined_2_adjacent_ocr_lines,matched,direct,PREHISTORIC PEOPLES AND CULTURES,14,45,26
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,11,South Asian Arts,single_ocr_line,matched,direct,SOUTH ASIAN ARTS,15,634,77
6,3,1,613,225,Division II. Section 613,propaedia_pages/part_6/propaedia-2010-part-06-photo-03.jpg,Major articles dealing with the characteristics of the arts in particular cultures;,12,Southeast Asian Arts,combined_2_adjacent_ocr_lines,matched,direct,SOUTHEAST ASIAN ARTS,15,795,43
6,4,1,621,227,Division II. Section 621,propaedia_pages/part_6/propaedia-2010-part-06-photo-04.jpg,Major articles and biographies dealing with literature,1,African Arts,single_ocr_line,matched,direct,AFRICAN ARTS,1,121,47
